id,category,operation,shape,semantic_qualification,numpy_median_ns,cnumpy_median_ns,cnumpy_over_numpy,winner,numpy_cv,cnumpy_cv,numpy_p95_ns,cnumpy_p95_ns
absolute/f64/1000,unary,absolute,1000,N/A,733.6769104003906,16206.591796875,22.089548638010907,NumPy,0.04387720257227251,0.08647014957952384,774.7590637207031,19174.9072265625
absolute/f64/10000,unary,absolute,10000,N/A,2668.3013916015625,19499.90234375,7.307983425382771,NumPy,0.07860567031997656,0.0878475688606786,3188.2275390624995,22319.16015625
absolute/f64/100000,unary,absolute,100000,N/A,37321.19140625,142987.890625,3.831278832139708,NumPy,0.06866956742169168,0.4639025471016217,42967.109375,375409.140625
absolute/f64/1000000,unary,absolute,1000000,N/A,2248090.625,2506715.625,1.1150420704236512,NumPy,0.1537002252662406,0.06768667471359638,2994735.6249999995,2811865.625
add/f64/1000,binary,add,1000,N/A,897.4212646484375,16615.576171875,18.514801048740594,NumPy,0.1129706815944711,0.08730439280781536,1036.7114257812498,19233.466796875
add/f64/10000,binary,add,10000,N/A,3731.787109375,20777.880859375,5.567809805435252,NumPy,0.07605683216815357,0.06473188508543376,4296.500244140625,22976.093749999996
add/f64/100000,binary,add,100000,N/A,63535.9375,149881.8359375,2.359008804072498,NumPy,0.07219267347959936,0.09122654789771957,70120.625,180238.0859375
add/f64/1000000,binary,add,1000000,N/A,2395778.125,3195406.25,1.3337655172053964,NumPy,0.04440598654739894,0.09490601022559426,2635250.6249999995,3598090.0
add_into/f64/1000,preallocated,add_into,1000,N/A,753.8726806640625,8501.66015625,11.277315618813985,NumPy,0.061215932888784005,0.09326275460528756,789.5516967773436,10088.984374999998
add_into/f64/10000,preallocated,add_into,10000,N/A,3013.4185791015625,10514.73388671875,3.4893041277570114,NumPy,0.045761294922611065,0.07540485368497045,3240.588989257812,12147.55859375
add_into/f64/100000,preallocated,add_into,100000,N/A,62286.23046875,72302.1484375,1.1608046897905493,NumPy,0.06105544462970701,0.042771610160612594,68570.6640625,77020.703125
add_into/f64/1000000,preallocated,add_into,1000000,N/A,1140685.9375,1487893.75,1.30438510819285,NumPy,0.18812172697285293,0.10164296381676463,1482721.875,1740136.2499999995
allclose/f64/1000,comparison,allclose,1000,N/A,34049.951171875,8279.541015625,0.2431586751426486,cnumpy,0.19747812078696675,0.07415076550489465,45028.79882812499,9702.548828125
allclose/f64/10000,comparison,allclose,10000,N/A,62736.23046875,30789.16015625,0.4907715992210691,cnumpy,0.20559206490620793,0.10113256796510035,90143.16406249997,34954.62890625
allclose/f64/100000,comparison,allclose,100000,N/A,2202978.125,229243.359375,0.10406066078164077,cnumpy,0.11677268893678198,0.10186779661763347,2578063.125,267025.9375
