id,category,operation,shape,semantic_qualification,numpy_median_ns,cnumpy_median_ns,cnumpy_over_numpy,winner,numpy_cv,cnumpy_cv,numpy_p95_ns,cnumpy_p95_ns
absolute/f64/1000,unary,absolute,1000,N/A,1647.9248046875,36200.78125,21.967495814752812,NumPy,0.11501739081219285,0.10416145103301375,1973.2092285156248,40225.2734375
absolute/f64/10000,unary,absolute,10000,N/A,7914.892578125,37894.7265625,4.7877752210096425,NumPy,0.12223873445915551,0.13805198780128755,9429.21630859375,49287.91015625
absolute/f64/100000,unary,absolute,100000,N/A,78856.0546875,738640.625,9.366948776820898,NumPy,0.10527625389530681,0.39942730232055995,93295.859375,1397579.687499999
absolute/f64/1000000,unary,absolute,1000000,N/A,4924475.0,6394400.0,1.2984937480645145,NumPy,0.06087236062003992,0.20964957058777783,5451282.5,8170119.999999998
add/f64/1000,binary,add,1000,N/A,1591.19873046875,31222.65625,19.622097260473645,NumPy,0.0529144057724648,0.3063576388414645,1733.2598876953125,63373.76953125
add/f64/10000,binary,add,10000,N/A,8221.6552734375,44750.78125,5.443037899506769,NumPy,0.14043876286730775,0.17980389488013027,10742.797851562498,63321.279296874985
add/f64/100000,binary,add,100000,N/A,123519.53125,326053.125,2.639688814395497,NumPy,0.11526072985159883,0.31386278706028004,149123.82812499997,585814.6875
add/f64/1000000,binary,add,1000000,N/A,5509750.0,4934337.5,0.8955646807931394,cnumpy,0.08151486315555305,0.12306485821878867,6402185.0,6021310.0
add_into/f64/1000,preallocated,add_into,1000,N/A,1449.798583984375,14154.052734375,9.762771802050224,NumPy,0.07571975009485342,0.09727198173940986,1604.8492431640625,16182.446289062496
add_into/f64/10000,preallocated,add_into,10000,N/A,7023.6572265625,23345.80078125,3.3238809964927403,NumPy,0.08376522068212,0.14978572805144247,7575.551757812499,30474.1796875
add_into/f64/100000,preallocated,add_into,100000,N/A,111445.703125,190224.21875,1.7068779990255905,NumPy,0.10066642190430197,0.2091202648019863,128145.78124999999,286412.265625
add_into/f64/1000000,preallocated,add_into,1000000,N/A,1709812.5,1683056.25,0.9843513543151662,cnumpy,0.12628851039058916,0.08466277921455763,2049391.25,1946792.5
allclose/f64/1000,comparison,allclose,1000,N/A,72684.375,17391.650390625,0.23927632851799305,cnumpy,0.09312385155971022,0.14627739752810953,83020.29296875,22272.041015625
allclose/f64/10000,comparison,allclose,10000,N/A,112299.21875,55346.09375,0.4928448689675323,cnumpy,0.09236977715968032,0.06513365349383354,133542.8515625,60413.59375
allclose/f64/100000,comparison,allclose,100000,N/A,2449606.25,542876.5625,0.22161788756866538,cnumpy,0.06995488100336208,0.13788627847077053,2744588.125,644852.5
allclose/f64/1000000,comparison,allclose,1000000,N/A,30993400.0,4379900.0,0.14131718365845633,cnumpy,0.12143832557513369,0.055041365012445956,36722170.0,4935400.0
angle/f64/1000,unary,angle,1000,N/A,19602.197265625,38142.3828125,1.945821802303134,NumPy,0.06458313117516641,0.12332865478453502,21348.955078125,47954.8828125
angle/f64/10000,unary,angle,10000,N/A,143851.953125,71628.515625,0.4979321731054877,cnumpy,0.07121418911485519,0.08883207788013434,160084.9609375,83703.96484375
angle/f64/100000,unary,angle,100000,N/A,1347937.5,486000.0,0.3605508415634998,cnumpy,0.061399052393532744,0.11467179293693838,1469551.25,578962.8125
angle/f64/1000000,unary,angle,1000000,N/A,15156700.0,5620500.0,0.3708261033074482,cnumpy,0.07335518591019737,0.058576676670355494,16964565.0,6127609.999999999
arange/f64/1000,creation,arange,1000,N/A,2442.81005859375,26307.03125,10.76916772855608,NumPy,0.11800630777398247,0.02870524738308632,3077.3132324218745,27825.146484375
arange/f64/10000,creation,arange,10000,N/A,13190.087890625,32935.15625,2.496962607308252,NumPy,0.12000496692157987,0.0593181420086218,16821.73828125,35221.7578125
arange/f64/100000,creation,arange,100000,N/A,130975.78125,193442.96875,1.4769369337126974,NumPy,0.10801608453698576,0.1289542238594495,152683.7109375,227832.10937499997
arange/f64/1000000,creation,arange,1000000,N/A,3672950.0,4438987.5,1.2085619188935324,NumPy,0.13325841837537025,0.11421266235393057,4780768.75,5450147.5
argmax/f64/1000,reduction,argmax,1000,numpy-1.25/task6-reduction-v1,4447.69287109375,15608.984375,3.5094564367169383,NumPy,0.06181251466232346,0.10971342281085066,4735.9326171875,18586.875
argmax/f64/10000,reduction,argmax,10000,numpy-1.25/task6-reduction-v1,17389.599609375,50649.4140625,2.9126268114416,NumPy,0.2076239334835992,0.14758446934334768,26882.36328125,61023.14453124999
argmax/f64/100000,reduction,argmax,100000,numpy-1.25/task6-reduction-v1,137834.765625,223763.28125,1.6234168515857699,NumPy,0.07604022176713662,0.08378948520424748,160237.421875,272848.4375
argmax/f64/1000000,reduction,argmax,1000000,numpy-1.25/task6-reduction-v1,1431437.5,2039200.0,1.424581932497926,NumPy,0.048560740568068465,0.09701623277065985,1530311.25,2494968.75
argpartition/f64/10000,sorting,argpartition,10000,N/A,119178.90625,240446.09375,2.017522238756072,NumPy,0.11436722206889273,0.14025545719554594,141827.73437499997,303721.48437499994
argpartition/f64/1000000,sorting,argpartition,1000000,N/A,15360500.0,20534500.0,1.3368379935548973,NumPy,0.04525395184876878,0.07062713068962043,16593135.0,23454789.999999996
argpartition_nan/f64/10000,sorting,argpartition_nan,10000,N/A,178409.375,97805.078125,0.5482059343854548,cnumpy,0.07123074204544132,0.07078810543333924,195473.98437499997,105543.984375
argpartition_nan/f64/1000000,sorting,argpartition_nan,1000000,N/A,20228050.0,13508800.0,0.6678251240233241,cnumpy,0.07554242530004834,0.14806789696197875,22940185.0,17903469.999999996
argsort/f64/1000,sorting,argsort,1000,numpy-1.25/task7-sort-set-v1,40996.77734375,223740.625,5.457517382987897,NumPy,0.22311495892314595,0.09879319133420733,63100.05859375,247705.390625
argsort/f64/10000,sorting,argsort,10000,numpy-1.25/task7-sort-set-v1,966271.875,2676312.5,2.769730310115877,NumPy,0.04070560867475276,0.11062153799280146,1033602.4999999999,3211751.249999999
argsort/f64/100000,sorting,argsort,100000,numpy-1.25/task7-sort-set-v1,10971750.0,32469300.0,2.959354706405086,NumPy,0.04972675127610053,0.13329918276890104,11853190.0,39908840.0
