id,category,operation,shape,semantic_qualification,numpy_median_ns,cnumpy_median_ns,cnumpy_over_numpy,winner,numpy_cv,cnumpy_cv,numpy_p95_ns,cnumpy_p95_ns
absolute/f64/1000,unary,absolute,1000,N/A,1146.81396484375,19308.203125,16.836386473224266,NumPy,0.06918409587212318,0.1113523215164007,1224.8065185546875,21384.794921875
absolute/f64/10000,unary,absolute,10000,N/A,3800.9765625,20585.25390625,5.415780278505729,NumPy,0.062314230738617235,0.10650514547273504,3982.9541015625,24107.9296875
absolute/f64/100000,unary,absolute,100000,N/A,50045.703125,375725.0,7.507637550051905,NumPy,0.10995933559218285,0.07682139505707325,59412.18749999999,408974.53125
absolute/f64/1000000,unary,absolute,1000000,N/A,2626275.0,2720812.5,1.0359968015535312,NumPy,0.1372852372784585,0.09085040294854671,3349930.0,3218721.2499999995
add/f64/1000,binary,add,1000,N/A,1030.7342529296875,16112.646484375,15.632202421310373,NumPy,0.09581637003806258,0.08571891746423473,1140.323486328125,18204.912109375
add/f64/10000,binary,add,10000,N/A,4279.6142578125,17420.263671875,4.070521926146509,NumPy,0.10826858960105364,0.046834215236083006,5114.809570312499,19282.333984375
add/f64/100000,binary,add,100000,N/A,72620.3125,127840.625,1.7603976160251307,NumPy,0.10031131337405101,0.16406755536721881,86829.31640624999,174751.95312499997
add/f64/1000000,binary,add,1000000,N/A,2770625.0,2584750.0,0.9329122490412813,cnumpy,0.07130152515396397,0.04659318229697505,3113208.75,2726380.0
add_into/f64/1000,preallocated,add_into,1000,N/A,862.6434326171875,7631.25,8.846354949747232,NumPy,0.127138400830732,0.0729391100900592,1061.4096069335938,8490.3759765625
add_into/f64/10000,preallocated,add_into,10000,N/A,3604.79736328125,11054.443359375,3.066592167420125,NumPy,0.14586405932734348,0.1147826068556691,4831.032714843749,12506.958007812498
add_into/f64/100000,preallocated,add_into,100000,N/A,63813.0859375,84078.125,1.3175687049886295,NumPy,0.06269546882767704,0.11176065384312797,73049.62890625,94648.6328125
add_into/f64/1000000,preallocated,add_into,1000000,N/A,1271500.0,1318225.0,1.036747935509241,NumPy,0.08548025014185806,0.09391576081194974,1408397.5,1594176.875
allclose/f64/1000,comparison,allclose,1000,N/A,28678.90625,8818.505859375,0.3074910103789261,cnumpy,0.11478593600102983,0.09384691122117271,34179.84375,10155.3564453125
allclose/f64/10000,comparison,allclose,10000,N/A,48501.3671875,32557.12890625,0.6712620858787003,cnumpy,0.08984564255053136,0.08039325130391674,53573.57421875,35200.95703125
allclose/f64/100000,comparison,allclose,100000,N/A,1873093.75,259550.0,0.13856754366939722,cnumpy,0.11289430967025998,0.15962516368883148,2174246.8749999995,334649.21875
allclose/f64/1000000,comparison,allclose,1000000,N/A,21760700.0,2706050.0,0.12435491505328414,cnumpy,0.08950394193935565,0.05886968376377924,25459060.0,2947410.0
angle/f64/1000,unary,angle,1000,N/A,11558.69140625,19381.93359375,1.6768276712768564,NumPy,0.06509602275757574,0.08938722101568373,13221.2646484375,21792.55859375
angle/f64/10000,unary,angle,10000,N/A,98046.875,36249.609375,0.36971713147410357,cnumpy,0.11152925331579115,0.10759754482663189,115098.4375,43015.37109374999
